id,fake,real
TEST_00000,0.3311147689819336,1.0
TEST_00001,0.0,1.0
TEST_00002,0.0,1.0
TEST_00003,0.0,1.0
TEST_00004,0.0,1.0
TEST_00005,0.0,1.0
TEST_00006,0.0,1.0
TEST_00007,0.0,1.0
TEST_00008,0.0,1.0
TEST_00009,0.0,1.0
TEST_00010,1.0,0.0
TEST_00011,1.0,0.0
TEST_00012,0.0,1.0
TEST_00013,0.0,1.0
TEST_00014,1.0,0.0
TEST_00015,0.0,1.0
TEST_00016,0.0,1.0
TEST_00017,0.0,1.0
TEST_00018,0.0,1.0
TEST_00019,0.3598292171955108,0.6280822157859802
TEST_00020,0.0,1.0
TEST_00021,0.0,1.0
TEST_00022,0.0,1.0
TEST_00023,0.0,1.0
TEST_00024,0.0,1.0
TEST_00025,1.0,0.0
TEST_00026,1.0,0.0
TEST_00027,0.0,1.0
TEST_00028,0.0,1.0
TEST_00029,1.0,0.0
TEST_00030,0.0,1.0
TEST_00031,0.4978207945823669,0.3876239061355591
TEST_00032,1.0,0.0
TEST_00033,0.0,1.0
TEST_00034,0.0,1.0
TEST_00035,0.0,1.0
TEST_00036,0.0,0.6610135436058044
TEST_00037,0.0,1.0
TEST_00038,0.0,1.0
TEST_00039,0.0,1.0
TEST_00040,0.0,1.0
TEST_00041,0.0,1.0
TEST_00042,0.0,1.0
TEST_00043,0.0,1.0
TEST_00044,0.654155969619751,0.0
TEST_00045,0.0,1.0
TEST_00046,0.0,1.0
TEST_00047,0.0,1.0
TEST_00048,0.0,1.0
TEST_00049,0.0,1.0
TEST_00050,0.0,1.0
TEST_00051,0.0,1.0
TEST_00052,0.0,1.0
TEST_00053,0.4485493302345276,0.5222653746604919
TEST_00054,0.0,1.0
TEST_00055,1.0,0.0
TEST_00056,1.0,0.0
TEST_00057,0.0,1.0
TEST_00058,0.4810953736305237,0.4142869710922241
TEST_00059,0.0,1.0
TEST_00060,0.0,1.0
TEST_00061,0.0,1.0
TEST_00062,0.0,1.0
TEST_00063,0.0,1.0
TEST_00064,0.0,1.0
TEST_00065,0.0,1.0
TEST_00066,0.0,1.0
TEST_00067,0.0,1.0
TEST_00068,0.0,1.0
TEST_00069,0.0,1.0
TEST_00070,0.3991961777210235,0.5763096809387207
TEST_00071,0.0,1.0
TEST_00072,0.0,1.0
TEST_00073,0.0,1.0
TEST_00074,0.0,1.0
TEST_00075,0.0,1.0
TEST_00076,0.4870106279850006,0.347328633069992
TEST_00077,0.0,1.0
TEST_00078,0.0,1.0
TEST_00079,0.0,1.0
TEST_00080,0.0,1.0
TEST_00081,1.0,0.0
TEST_00082,0.0,1.0
TEST_00083,0.0,1.0
TEST_00084,0.0,1.0
TEST_00085,0.0,1.0
TEST_00086,0.0,1.0
TEST_00087,1.0,0.3328790962696075
TEST_00088,0.0,1.0
TEST_00089,0.0,1.0
TEST_00090,0.0,1.0
TEST_00091,0.0,1.0
TEST_00092,0.0,1.0
TEST_00093,0.0,1.0
