id,path,label
SNGJTJQG,./train/SNGJTJQG.ogg,fake
LIYTDJZZ,./train/LIYTDJZZ.ogg,fake
HAMPQOIN,./train/HAMPQOIN.ogg,real
UCJMLYVH,./train/UCJMLYVH.ogg,fake
EUKZRQPD,./train/EUKZRQPD.ogg,real
LHINRBWI,./train/LHINRBWI.ogg,real
MSVFQADW,./train/MSVFQADW.ogg,fake
NRNRMXUX,./train/NRNRMXUX.ogg,fake
DVCBYQIS,./train/DVCBYQIS.ogg,fake
FORZQUYY,./train/FORZQUYY.ogg,fake
IXGPXHDG,./train/IXGPXHDG.ogg,real
IONGLDGI,./train/IONGLDGI.ogg,fake
WZMUXKHE,./train/WZMUXKHE.ogg,real
IPRRBORJ,./train/IPRRBORJ.ogg,fake
AVUYNXOI,./train/AVUYNXOI.ogg,real
GNIIIWPB,./train/GNIIIWPB.ogg,real
YEMNPQBX,./train/YEMNPQBX.ogg,real
FBIIMNPE,./train/FBIIMNPE.ogg,fake
NBMRZJWW,./train/NBMRZJWW.ogg,real
QOWYJNPG,./train/QOWYJNPG.ogg,real
JHFFOVTM,./train/JHFFOVTM.ogg,real
AQCALIZX,./train/AQCALIZX.ogg,real
HKAFYORF,./train/HKAFYORF.ogg,fake
REBUZWCA,./train/REBUZWCA.ogg,real
OBPPCXDB,./train/OBPPCXDB.ogg,fake
JQQMXWKV,./train/JQQMXWKV.ogg,fake
ADDVJJOY,./train/ADDVJJOY.ogg,real
XWNOCFNK,./train/XWNOCFNK.ogg,fake
YGVOLHDK,./train/YGVOLHDK.ogg,real
GPBZUHUU,./train/GPBZUHUU.ogg,real
VIIKDCIP,./train/VIIKDCIP.ogg,real
GMVLRXMT,./train/GMVLRXMT.ogg,real
CHWWNDVE,./train/CHWWNDVE.ogg,fake
UZTPFXMY,./train/UZTPFXMY.ogg,fake
OFGYDWWS,./train/OFGYDWWS.ogg,real
TPVGFLIW,./train/TPVGFLIW.ogg,real
UUAKDPZI,./train/UUAKDPZI.ogg,fake
HGFKFNTA,./train/HGFKFNTA.ogg,real
KAMOWWHP,./train/KAMOWWHP.ogg,real
QZJWAODB,./train/QZJWAODB.ogg,fake
SZCSYORY,./train/SZCSYORY.ogg,fake
MHTLGFAZ,./train/MHTLGFAZ.ogg,fake
LITEJTCZ,./train/LITEJTCZ.ogg,fake
AUODDKZV,./train/AUODDKZV.ogg,real
OYLZGRLS,./train/OYLZGRLS.ogg,real
NJGBJWNC,./train/NJGBJWNC.ogg,fake
NTFVDSJP,./train/NTFVDSJP.ogg,fake
ZYAZQJEQ,./train/ZYAZQJEQ.ogg,fake
FITZVHMG,./train/FITZVHMG.ogg,real
TVHSXRQQ,./train/TVHSXRQQ.ogg,real
DYEGRYHR,./train/DYEGRYHR.ogg,fake
ZTBGTHMP,./train/ZTBGTHMP.ogg,real
MJXQAXZK,./train/MJXQAXZK.ogg,real
DTAMECWA,./train/DTAMECWA.ogg,real
KNZRAMYF,./train/KNZRAMYF.ogg,fake
LJQUXXUT,./train/LJQUXXUT.ogg,real
JXSCGVXA,./train/JXSCGVXA.ogg,fake
